Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK,PTT.BK
Date,,,,,,
2025-02-25,30.897579193115234,32.25,32.75,32.25,32.5,56817200
2025-02-26,30.658063888549805,32.0,32.5,32.0,32.25,42289400
2025-02-27,30.418548583984375,31.75,32.25,31.75,32.0,27707600
2025-02-28,30.179031372070312,31.5,32.0,31.0,31.5,78835600
2025-03-03,29.69999885559082,31.0,31.75,31.0,31.75,43412100
2025-03-04,29.46048355102539,30.75,31.25,30.5,31.0,40053400
2025-03-05,29.69999885559082,31.0,31.25,30.75,30.75,43113200
2025-03-06,29.75,29.75,30.25,29.5,29.75,52970100
2025-03-07,29.75,29.75,30.0,29.5,29.75,37345200
2025-03-10,28.25,28.25,29.75,28.0,29.5,92884400
2025-03-11,28.0,28.0,28.25,27.0,28.0,126369200
2025-03-12,27.25,27.25,28.25,27.25,28.0,88194200
2025-03-13,27.25,27.25,27.75,27.0,27.25,40928000
2025-03-14,29.0,29.0,29.25,27.25,27.5,92957300
2025-03-17,29.5,29.5,29.5,28.5,29.0,78375800
2025-03-18,29.5,29.5,30.0,29.0,29.75,58312500
2025-03-19,29.75,29.75,30.0,29.25,29.5,57656100
2025-03-20,30.75,30.75,31.25,29.5,29.5,97709700
2025-03-21,31.75,31.75,32.0,31.25,31.75,82292500
2025-03-24,32.25,32.25,32.25,31.25,31.75,60701300
2025-03-25,32.5,32.5,32.5,32.0,32.25,55017000
2025-03-26,32.5,32.5,32.75,32.25,32.5,30966300
2025-03-27,32.5,32.5,32.75,32.25,32.5,29589700
2025-03-28,32.0,32.0,32.5,32.0,32.25,27547300
2025-03-31,32.0,32.0,32.25,31.5,32.0,40124600
2025-04-01,32.0,32.0,32.25,31.75,32.0,24892400
2025-04-02,32.25,32.25,32.25,31.75,31.75,32787700
2025-04-03,32.25,32.25,32.25,31.5,31.75,36044100
2025-04-04,31.5,31.5,32.25,31.0,31.75,61283900
2025-04-08,30.25,30.25,30.75,29.5,30.0,73333600
2025-04-09,30.5,30.5,30.5,30.0,30.0,51082000
2025-04-10,30.75,30.75,31.75,30.75,31.25,85360700
2025-04-11,31.5,31.5,31.5,30.25,30.75,53493900
2025-04-16,31.0,31.0,31.5,30.5,31.25,42868900
2025-04-17,30.75,30.75,31.25,30.75,31.0,17112300
2025-04-18,31.0,31.0,31.5,30.75,31.0,36229600
2025-04-21,30.75,30.75,31.0,30.25,31.0,39254200
2025-04-22,30.5,30.5,30.75,30.25,30.5,22245800
2025-04-23,30.5,30.5,31.0,30.5,30.75,36211500
2025-04-24,30.25,30.25,30.75,30.25,30.5,13586800
2025-04-25,30.5,30.5,30.5,30.25,30.5,9162000
2025-04-28,30.75,30.75,30.75,30.5,30.5,15194900
2025-04-29,30.75,30.75,31.0,30.5,30.75,11992100
2025-04-30,31.0,31.0,31.0,30.5,30.75,27889300
2025-05-02,31.25,31.25,31.25,30.75,31.0,31531400
2025-05-06,30.75,30.75,31.25,30.5,31.0,19733400
2025-05-07,31.5,31.5,31.5,30.75,30.75,52060700
2025-05-08,31.0,31.0,31.5,31.0,31.25,36019200
